City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Kudahuvadhoo,2.6708,72.8944,82.27,73,99,11.65,MV,2021-02-02 21:57:59
80,Koygorodok,60.445,50.9968,16.7,96,100,9.01,RU,2021-02-02 21:57:59
81,San Juan,-31.5375,-68.5364,74.35,30,85,9.1,AR,2021-02-02 21:56:15
82,Lebu,-37.6167,-73.65,61.57,72,22,13.11,CL,2021-02-02 21:57:22
83,Grindavik,63.8424,-22.4338,35.6,60,0,17.27,IS,2021-02-02 21:57:59
84,Mecca,21.4267,39.8261,73.96,75,0,0.94,SA,2021-02-02 21:57:59
85,Saint George,37.1041,-113.5841,64.4,39,90,8.05,US,2021-02-02 21:57:52
86,Cidreira,-30.1811,-50.2056,78.28,85,0,12.26,BR,2021-02-02 21:58:00
87,Bandarbeyla,9.4942,50.8122,72.86,71,10,15.3,SO,2021-02-02 21:58:00
88,Denpasar,-8.65,115.2167,78.8,89,75,14.97,ID,2021-02-02 21:58:00
89,Lucea,18.451,-78.1736,75.99,73,75,16.11,JM,2021-02-02 21:58:00
90,Sao Felix Do Xingu,-6.6447,-51.995,76.37,91,91,2.73,BR,2021-02-02 21:58:00
91,Labuhan,-6.8844,112.2051,77.61,87,98,7.11,ID,2021-02-02 21:58:00
92,Sol-Iletsk,51.1631,54.9918,34.43,91,100,12.44,RU,2021-02-02 21:58:00
93,Dikson,73.5069,80.5464,-23.49,84,1,13.85,RU,2021-02-02 21:58:01
94,Bonavista,48.6499,-53.1147,28.0,86,77,1.14,CA,2021-02-02 21:58:01
95,Dali,25.7,100.1833,39.83,70,80,1.83,CN,2021-02-02 21:58:01
96,Neiafu,-18.65,-173.9833,80.6,83,75,6.91,TO,2021-02-02 21:58:01
97,Vung Tau,10.346,107.0843,72.99,81,13,8.86,VN,2021-02-02 21:54:38
98,Alta Floresta,-9.8756,-56.0861,77.54,90,99,2.24,BR,2021-02-02 21:53:37
99,Ilulissat,69.2167,-51.1,-2.2,65,6,17.27,GL,2021-02-02 21:57:39
100,Cape Town,-33.9258,18.4232,70.0,83,0,18.41,ZA,2021-02-02 21:57:05
101,Kaniama,-7.5667,24.1833,68.09,90,100,2.39,CD,2021-02-02 21:58:01
102,Thinadhoo,0.5333,72.9333,82.54,69,100,5.08,MV,2021-02-02 21:58:01
103,Markova,48.6758,24.4138,33.89,90,69,5.75,UA,2021-02-02 21:58:01
104,Bengkulu,-3.8004,102.2655,75.24,88,100,5.82,ID,2021-02-02 21:58:02
105,Mar Del Plata,-38.0023,-57.5575,68.0,77,75,13.8,AR,2021-02-02 21:54:25
106,Xuddur,4.1213,43.8894,66.15,65,0,17.29,SO,2021-02-02 21:58:02
107,Kabompo,-13.5927,24.2008,65.26,97,100,4.07,ZM,2021-02-02 21:58:02
108,Barrow,71.2906,-156.7887,-23.8,76,1,13.8,US,2021-02-02 21:58:02
109,Pangody,65.85,74.4859,7.74,96,85,8.21,RU,2021-02-02 21:58:02
110,Fairbanks,64.8378,-147.7164,-14.01,69,1,4.36,US,2021-02-02 21:54:34
111,Iqaluit,63.7506,-68.5145,-18.4,69,90,1.16,CA,2021-02-02 21:57:35
112,Lebedinyy,58.5167,125.5167,-36.63,81,100,7.74,RU,2021-02-02 21:58:03
113,Avarua,-21.2078,-159.775,80.6,83,75,11.5,CK,2021-02-02 21:58:03
